Regulation,Language,Model,Question_No,Question_Text,FAISS 1st Ranked,FAISS 2nd Ranked,FAISS 3rd Ranked,FAISS Best Choice
EU_AI,Greek,text-embedding-ada-002,7,Ποιος θα ήταν ο ρόλος της τυποποίησης στον κανονισμό για την ΤΝ;,18,11,23,18
EU_AI,Greek,text-embedding-ada-002,8,Πώς ρυθμίζονται τα μοντέλα ΤΝ γενικού σκοπού;,8,21,24,8
EU_AI,Greek,text-embedding-ada-002,9,Γιατί τα 10^25 FLOPS αποτελούν κατάλληλο όριο για την ΤΝ γενικού σκοπού (ΤΝΓΣ) με συστημικούς κινδύνους;,9,8,3,9
EU_AI,Greek,text-embedding-ada-002,10,Ποιες είναι οι υποχρεώσεις που ορίζονται στον κανονισμό για την ΤΝ σχετικά με την υδατογραφική σήμανση και την επισήμανση των προϊόντων της ΤΝ;,10,17,18,10
EU_AI,Greek,text-embedding-ada-002,11,Είναι ο κανονισμός για την ΤΝ ανθεκτικός στις μελλοντικές εξελίξεις;,18,11,23,11
EU_AI,Greek,text-embedding-ada-002,12,Πώς ρυθμίζει ο κανονισμός για την ΤΝ τη βιομετρική ταυτοποίηση;,11,18,24,11
EU_AI,Greek,text-embedding-ada-002,13,Γιατί απαιτούνται ειδικοί κανόνες για την εξ αποστάσεως βιομετρική ταυτοποίηση;,12,13,3,13
EU_AI,Greek,text-embedding-ada-002,14,Πώς προστατεύουν οι κανόνες τα θεμελιώδη δικαιώματα;,20,14,1,14
EU_AI,Greek,text-embedding-ada-002,15,Τι είναι η εκτίμηση επιπτώσεων για τα θεμελιώδη δικαιώματα; Ποιος πρέπει να διενεργεί τέτοια εκτίμηση και πότε;,15,3,14,15
EU_AI,Greek,text-embedding-ada-002,16,Πώς αντιμετωπίζει αυτός ο κανονισμός τις προκαταλήψεις λόγω φυλής και φύλου στην ΤΝ;,11,3,1,11
EU_AI,Greek,text-embedding-ada-002,17,Πότε θα τεθεί σε πλήρη εφαρμογή ο κανονισμός για την ΤΝ;,17,11,25,17
EU_AI,Greek,text-embedding-ada-002,18,Πώς θα επιβάλλεται ο κανονισμός για την ΤΝ;,18,11,17,18
EU_AI,Greek,text-embedding-ada-002,19,Γιατί χρειάζεται το Ευρωπαϊκό Συμβούλιο Τεχνητής Νοημοσύνης και τι θα κάνει;,19,26,3,19
EU_AI,Greek,text-embedding-ada-002,20,Ποιες είναι οι κυρώσεις σε περίπτωση παράβασης;,20,16,22,20
EU_AI,Greek,text-embedding-ada-002,21,Πώς θα καταρτισθεί ο κώδικας ορθής πρακτικής για την ΤΝ γενικού σκοπού;,22,21,24,21
EU_AI,Greek,text-embedding-ada-002,22,"Εάν εγκριθεί, πώς θα λειτουργήσει ο κώδικας ορθής πρακτικής ως κεντρικό εργαλείο συμμόρφωσης για τους παρόχους μοντέλων ΤΝ γενικού σκοπού;",22,21,21,22
EU_AI,Greek,text-embedding-ada-002,23,Ο κανονισμός για την ΤΝ περιέχει διατάξεις σχετικά με την προστασία του περιβάλλοντος και τη βιωσιμότητα;,23,1,11,23
EU_AI,Greek,text-embedding-ada-002,24,Πώς μπορούν οι νέοι κανόνες να στηρίξουν την καινοτομία;,24,20,11,24
EU_AI,Greek,text-embedding-ada-002,25,Ποιος είναι ο ρόλος που διαδραματίζει το σύμφωνο για την ΤΝ στην εφαρμογή του κανονισμού για την ΤΝ;,25,18,23,25
EU_AI,Greek,text-embedding-ada-002,26,Ποια είναι η διεθνής διάσταση της προσέγγισης της ΕΕ;,26,18,19,26
EU_AI,Hungarian,text-embedding-3-large,1,Miért kell szabályozni a mesterséges intelligencia használatát?,3,1,24,1
EU_AI,Hungarian,text-embedding-3-large,2,Kikre vonatkozik a mesterséges intelligenciáról szóló jogszabály?,17,1,11,17
EU_AI,Hungarian,text-embedding-3-large,3,Melyek a kockázati kategóriák?,4,15,3,3
EU_AI,Hungarian,text-embedding-3-large,4,"Hogyan tudom eldönteni, hogy egy MI-rendszer magas kockázatú-e?",4,6,15,4
EU_AI,Hungarian,text-embedding-3-large,5,Melyek a III. mellékletben meghatározott magas kockázatú felhasználási esetek példái?,5,3,4,5
EU_AI,Hungarian,text-embedding-3-large,6,Milyen kötelezettségek terhelik a magas kockázatú MI-rendszerek szolgáltatóit?,15,6,8,6
EU_AI,Hungarian,text-embedding-3-large,7,Milyen szerepet fog játszani a szabványosítás a mesterséges intelligenciáról szóló jogszabály esetében?,7,11,23,7
EU_AI,Hungarian,text-embedding-3-large,8,Hogyan lesznek szabályozva az általános célú MI-modellek?,8,23,3,8
EU_AI,Hungarian,text-embedding-3-large,9,Miért jelent a 10^25 FLOPS megfelelő küszöbértéket a rendszerszintű kockázatot jelentő általános célú MI-rendszerek esetében?,8,9,3,9
EU_AI,Hungarian,text-embedding-3-large,10,A mesterséges intelligenciáról szóló jogszabály milyen kötelezettségeket határoz meg az MI-kimenetek vízjelölésére és címkézésére vonatkozóan?,4,17,10,10
EU_AI,Hungarian,text-embedding-3-large,11,Időtálló-e a mesterséges intelligenciáról szóló jogszabály?,17,11,1,11
EU_AI,Hungarian,text-embedding-3-large,12,Hogyan szabályozza a mesterséges intelligenciáról szóló jogszabály a biometrikus azonosítást?,3,3,1,3
EU_AI,Hungarian,text-embedding-3-large,13,Miért van szükség különleges szabályokra a távoli biometrikus azonosítás esetében?,13,12,3,13
EU_AI,Hungarian,text-embedding-3-large,14,Hogyan védik a szabályok az alapvető jogokat?,14,1,15,14
EU_AI,Hungarian,text-embedding-3-large,15,"Mit jelent pontosan az alapvető jogokra vonatkozó hatásvizsgálat? Kinek kell elvégeznie az ilyen típusú vizsgálatot, és mikor?",15,14,24,15
EU_AI,Hungarian,text-embedding-3-large,16,Hogyan kezeli a rendelet a fajon vagy nemen alapuló méltánytalan előítéletek kérdését a mesterséges intelligencia összefüggésében?,16,14,3,16
EU_AI,Hungarian,text-embedding-3-large,17,Mikor lesz teljes mértékben alkalmazandó a mesterséges intelligenciáról szóló jogszabály?,17,1,11,17
EU_AI,Hungarian,text-embedding-3-large,18,Hogyan kerül érvényesítésre a mesterséges intelligenciáról szóló jogszabály?,17,11,1,17
EU_AI,Hungarian,text-embedding-3-large,19,"Miért van szükség a Mesterséges Intelligenciával Foglalkozó Európai Testületre, és mi lesz a feladata?",19,18,1,19
EU_AI,Hungarian,text-embedding-3-large,20,Milyen szankciókra lehet számítani jogsértés esetén?,20,6,14,20
EU_AI,Hungarian,text-embedding-3-large,21,Hogyan készül az általános célú MI-re vonatkozó gyakorlati kódex?,21,22,8,21
EU_AI,Hungarian,text-embedding-3-large,22,Jóváhagyás esetén hogyan szolgál az általános célú MI-modellek szolgáltatóira vonatkozó gyakorlati kódex a megfelelés központi eszközeként?,22,21,8,22
EU_AI,Hungarian,text-embedding-3-large,23,Tartalmaz-e a mesterséges intelligenciáról szóló jogszabály a környezetvédelemre és a fenntarthatóságra vonatkozó rendelkezéseket?,23,11,1,23
EU_AI,Hungarian,text-embedding-3-large,24,Hogyan segíthetik elő az új szabályok az innovációt?,24,11,25,24
EU_AI,Hungarian,text-embedding-3-large,25,Milyen szerepet játszik a mesterséges intelligenciáról szóló paktum a mesterséges intelligenciáról szóló jogszabály végrehajtásában?,25,11,18,25
EU_AI,Hungarian,text-embedding-3-large,26,Mi az uniós megközelítés nemzetközi dimenziója?,26,14,1,26
EU_AI,Hungarian,text-embedding-3-small,1,Miért kell szabályozni a mesterséges intelligencia használatát?,14,11,1,1
EU_AI,Hungarian,text-embedding-3-small,2,Kikre vonatkozik a mesterséges intelligenciáról szóló jogszabály?,11,3,14,11
EU_AI,Hungarian,text-embedding-3-small,3,Melyek a kockázati kategóriák?,15,4,3,3
EU_AI,Hungarian,text-embedding-3-small,4,"Hogyan tudom eldönteni, hogy egy MI-rendszer magas kockázatú-e?",15,6,3,15
EU_AI,Hungarian,text-embedding-3-small,5,Melyek a III. mellékletben meghatározott magas kockázatú felhasználási esetek példái?,5,3,4,5
EU_AI,Hungarian,text-embedding-3-small,6,Milyen kötelezettségek terhelik a magas kockázatú MI-rendszerek szolgáltatóit?,15,6,20,6
EU_AI,Hungarian,text-embedding-3-small,7,Milyen szerepet fog játszani a szabványosítás a mesterséges intelligenciáról szóló jogszabály esetében?,11,7,14,7
EU_AI,Hungarian,text-embedding-3-small,8,Hogyan lesznek szabályozva az általános célú MI-modellek?,8,23,22,8
EU_AI,Hungarian,text-embedding-3-small,9,Miért jelent a 10^25 FLOPS megfelelő küszöbértéket a rendszerszintű kockázatot jelentő általános célú MI-rendszerek esetében?,3,8,9,9
EU_AI,Hungarian,text-embedding-3-small,10,A mesterséges intelligenciáról szóló jogszabály milyen kötelezettségeket határoz meg az MI-kimenetek vízjelölésére és címkézésére vonatkozóan?,10,14,11,10
EU_AI,Hungarian,text-embedding-3-small,11,Időtálló-e a mesterséges intelligenciáról szóló jogszabály?,11,25,3,11
EU_AI,Hungarian,text-embedding-3-small,12,Hogyan szabályozza a mesterséges intelligenciáról szóló jogszabály a biometrikus azonosítást?,11,13,12,12
EU_AI,Hungarian,text-embedding-3-small,13,Miért van szükség különleges szabályokra a távoli biometrikus azonosítás esetében?,13,12,3,13
EU_AI,Hungarian,text-embedding-3-small,14,Hogyan védik a szabályok az alapvető jogokat?,11,14,1,14
EU_AI,Hungarian,text-embedding-3-small,15,"Mit jelent pontosan az alapvető jogokra vonatkozó hatásvizsgálat? Kinek kell elvégeznie az ilyen típusú vizsgálatot, és mikor?",15,14,11,15
EU_AI,Hungarian,text-embedding-3-small,16,Hogyan kezeli a rendelet a fajon vagy nemen alapuló méltánytalan előítéletek kérdését a mesterséges intelligencia összefüggésében?,14,11,3,14
EU_AI,Hungarian,text-embedding-3-small,17,Mikor lesz teljes mértékben alkalmazandó a mesterséges intelligenciáról szóló jogszabály?,11,7,14,11
EU_AI,Hungarian,text-embedding-3-small,18,Hogyan kerül érvényesítésre a mesterséges intelligenciáról szóló jogszabály?,11,3,25,11
EU_AI,Hungarian,text-embedding-3-small,19,"Miért van szükség a Mesterséges Intelligenciával Foglalkozó Európai Testületre, és mi lesz a feladata?",19,18,26,19
EU_AI,Hungarian,text-embedding-3-small,20,Milyen szankciókra lehet számítani jogsértés esetén?,20,12,6,20
EU_AI,Hungarian,text-embedding-3-small,21,Hogyan készül az általános célú MI-re vonatkozó gyakorlati kódex?,21,22,8,21
EU_AI,Hungarian,text-embedding-3-small,22,Jóváhagyás esetén hogyan szolgál az általános célú MI-modellek szolgáltatóira vonatkozó gyakorlati kódex a megfelelés központi eszközeként?,22,8,21,22
EU_AI,Hungarian,text-embedding-3-small,23,Tartalmaz-e a mesterséges intelligenciáról szóló jogszabály a környezetvédelemre és a fenntarthatóságra vonatkozó rendelkezéseket?,11,3,7,11
EU_AI,Hungarian,text-embedding-3-small,24,Hogyan segíthetik elő az új szabályok az innovációt?,11,25,7,11
EU_AI,Hungarian,text-embedding-3-small,25,Milyen szerepet játszik a mesterséges intelligenciáról szóló paktum a mesterséges intelligenciáról szóló jogszabály végrehajtásában?,25,25,11,25
EU_AI,Hungarian,text-embedding-3-small,26,Mi az uniós megközelítés nemzetközi dimenziója?,26,1,2,26
EU_AI,Hungarian,text-embedding-ada-002,1,Miért kell szabályozni a mesterséges intelligencia használatát?,24,11,14,24
EU_AI,Hungarian,text-embedding-ada-002,2,Kikre vonatkozik a mesterséges intelligenciáról szóló jogszabály?,11,3,14,11
EU_AI,Hungarian,text-embedding-ada-002,3,Melyek a kockázati kategóriák?,15,4,3,3
EU_AI,Hungarian,text-embedding-ada-002,4,"Hogyan tudom eldönteni, hogy egy MI-rendszer magas kockázatú-e?",15,16,4,4
EU_AI,Hungarian,text-embedding-ada-002,5,Melyek a III. mellékletben meghatározott magas kockázatú felhasználási esetek példái?,4,5,15,5
EU_AI,Hungarian,text-embedding-ada-002,6,Milyen kötelezettségek terhelik a magas kockázatú MI-rendszerek szolgáltatóit?,15,6,16,6
EU_AI,Hungarian,text-embedding-ada-002,7,Milyen szerepet fog játszani a szabványosítás a mesterséges intelligenciáról szóló jogszabály esetében?,11,7,24,7
EU_AI,Hungarian,text-embedding-ada-002,8,Hogyan lesznek szabályozva az általános célú MI-modellek?,8,23,22,8
EU_AI,Hungarian,text-embedding-ada-002,9,Miért jelent a 10^25 FLOPS megfelelő küszöbértéket a rendszerszintű kockázatot jelentő általános célú MI-rendszerek esetében?,9,3,16,9
EU_AI,Hungarian,text-embedding-ada-002,10,A mesterséges intelligenciáról szóló jogszabály milyen kötelezettségeket határoz meg az MI-kimenetek vízjelölésére és címkézésére vonatkozóan?,11,7,10,10
EU_AI,Hungarian,text-embedding-ada-002,11,Időtálló-e a mesterséges intelligenciáról szóló jogszabály?,11,24,14,11
EU_AI,Hungarian,text-embedding-ada-002,12,Hogyan szabályozza a mesterséges intelligenciáról szóló jogszabály a biometrikus azonosítást?,11,24,7,11
EU_AI,Hungarian,text-embedding-ada-002,13,Miért van szükség különleges szabályokra a távoli biometrikus azonosítás esetében?,13,12,24,13
EU_AI,Hungarian,text-embedding-ada-002,14,Hogyan védik a szabályok az alapvető jogokat?,1,11,14,14
EU_AI,Hungarian,text-embedding-ada-002,15,"Mit jelent pontosan az alapvető jogokra vonatkozó hatásvizsgálat? Kinek kell elvégeznie az ilyen típusú vizsgálatot, és mikor?",15,24,2,15
EU_AI,Hungarian,text-embedding-ada-002,16,Hogyan kezeli a rendelet a fajon vagy nemen alapuló méltánytalan előítéletek kérdését a mesterséges intelligencia összefüggésében?,11,14,24,11
EU_AI,Hungarian,text-embedding-ada-002,17,Mikor lesz teljes mértékben alkalmazandó a mesterséges intelligenciáról szóló jogszabály?,11,7,24,11
EU_AI,Hungarian,text-embedding-ada-002,18,Hogyan kerül érvényesítésre a mesterséges intelligenciáról szóló jogszabály?,11,24,7,11
EU_AI,Hungarian,text-embedding-ada-002,19,"Miért van szükség a Mesterséges Intelligenciával Foglalkozó Európai Testületre, és mi lesz a feladata?",19,18,26,19
EU_AI,Hungarian,text-embedding-ada-002,20,Milyen szankciókra lehet számítani jogsértés esetén?,20,15,2,20
EU_AI,Hungarian,text-embedding-ada-002,21,Hogyan készül az általános célú MI-re vonatkozó gyakorlati kódex?,22,21,8,21
EU_AI,Hungarian,text-embedding-ada-002,22,Jóváhagyás esetén hogyan szolgál az általános célú MI-modellek szolgáltatóira vonatkozó gyakorlati kódex a megfelelés központi eszközeként?,22,8,21,22
EU_AI,Hungarian,text-embedding-ada-002,23,Tartalmaz-e a mesterséges intelligenciáról szóló jogszabály a környezetvédelemre és a fenntarthatóságra vonatkozó rendelkezéseket?,11,14,1,11
EU_AI,Hungarian,text-embedding-ada-002,24,Hogyan segíthetik elő az új szabályok az innovációt?,24,1,25,24
EU_AI,Hungarian,text-embedding-ada-002,25,Milyen szerepet játszik a mesterséges intelligenciáról szóló paktum a mesterséges intelligenciáról szóló jogszabály végrehajtásában?,25,25,11,25
EU_AI,Hungarian,text-embedding-ada-002,26,Mi az uniós megközelítés nemzetközi dimenziója?,26,1,14,26
EU_AI,Italian,text-embedding-3-large,1,Perché è necessario regolamentare l'uso dell'intelligenza artificiale?,1,14,3,1
EU_AI,Italian,text-embedding-3-large,2,A chi si applica la legge sull'IA?,17,4,2,2
EU_AI,Italian,text-embedding-3-large,3,Quali sono le categorie di rischio?,4,5,3,3
EU_AI,Italian,text-embedding-3-large,4,Come sapere se un sistema di IA è ad alto rischio?,5,4,3,4
EU_AI,Italian,text-embedding-3-large,5,Quali sono gli esempi di casi d'uso ad alto rischio definiti nell'allegato III?,5,3,4,5
EU_AI,Italian,text-embedding-3-large,6,Quali sono gli obblighi per i fornitori di sistemi di IA ad alto rischio?,6,15,4,6
EU_AI,Italian,text-embedding-3-large,7,Quale sarebbe il ruolo della normazione nella legge sull'IA?,7,24,11,7
EU_AI,Italian,text-embedding-3-large,8,Come sono regolamentati i modelli di IA per finalità generali?,8,22,4,8
EU_AI,Italian,text-embedding-3-large,9,Per quale motivo 10^25 FLOPS è una soglia adeguata per l'IA per finalità generali con rischi sistemici?,9,8,3,9
EU_AI,Italian,text-embedding-3-large,10,Quali sono gli obblighi relativi all'aggiunta di filigrane digitali e all'etichettatura dell'output dell'IA stabiliti nella legge sull'IA?,10,17,22,10
EU_AI,Italian,text-embedding-3-large,11,La legge sull'IA è adeguata alle esigenze future?,11,1,24,11
EU_AI,Italian,text-embedding-3-large,12,Come è disciplinata l'identificazione biometrica nella legge sull'IA?,12,13,3,12
EU_AI,Italian,text-embedding-3-large,13,Perché sono necessarie regole particolari per l'identificazione biometrica remota?,13,12,3,13
EU_AI,Italian,text-embedding-3-large,14,In che modo le regole tutelano i diritti fondamentali?,1,14,23,14
EU_AI,Italian,text-embedding-3-large,15,Cos'è una valutazione d'impatto sui diritti fondamentali? Chi deve effettuare tale valutazione? Quando deve essere effettuata?,15,14,6,15
EU_AI,Italian,text-embedding-3-large,16,In che modo questo regolamento affronta le distorsioni nell'IA legate al genere o alla razza?,16,14,2,16
EU_AI,Italian,text-embedding-3-large,17,Quando sarà pienamente applicabile la legge sull'IA?,17,25,24,17
EU_AI,Italian,text-embedding-3-large,18,In che modo sarà applicata la legge sull'IA?,17,4,1,17
EU_AI,Italian,text-embedding-3-large,19,Perché è necessario un consiglio europeo per l'intelligenza artificiale e di cosa si occuperà?,19,18,26,19
EU_AI,Italian,text-embedding-3-large,20,Quali sono le sanzioni in caso di violazione?,20,6,22,20
EU_AI,Italian,text-embedding-3-large,21,In che modo sarà elaborato il codice di buone pratiche in materia di IA per finalità generali?,22,21,21,21
EU_AI,Italian,text-embedding-3-large,22,"Se approvato, in che modo il codice di buone pratiche per i fornitori di modelli di IA per finalità generali funge da strumento centrale per la conformità?",22,21,21,22
EU_AI,Italian,text-embedding-3-large,23,La legge sull'IA contiene disposizioni in materia di protezione ambientale e sostenibilità?,23,11,1,23
EU_AI,Italian,text-embedding-3-large,24,In che modo le nuove regole possono sostenere l'innovazione?,24,11,25,24
EU_AI,Italian,text-embedding-3-large,25,Quale ruolo svolge il patto per l'IA nell'attuazione della legge sull'IA?,25,18,24,25
EU_AI,Italian,text-embedding-3-large,26,Qual è la dimensione internazionale dell'approccio dell'UE?,26,25,1,26
EU_AI,Italian,text-embedding-3-small,1,Perché è necessario regolamentare l'uso dell'intelligenza artificiale?,3,24,18,3
EU_AI,Italian,text-embedding-3-small,2,A chi si applica la legge sull'IA?,17,11,24,17
EU_AI,Italian,text-embedding-3-small,3,Quali sono le categorie di rischio?,5,4,3,3
EU_AI,Italian,text-embedding-3-small,4,Come sapere se un sistema di IA è ad alto rischio?,6,4,3,4
EU_AI,Italian,text-embedding-3-small,5,Quali sono gli esempi di casi d'uso ad alto rischio definiti nell'allegato III?,5,3,4,5
EU_AI,Italian,text-embedding-3-small,6,Quali sono gli obblighi per i fornitori di sistemi di IA ad alto rischio?,6,15,8,6
EU_AI,Italian,text-embedding-3-small,7,Quale sarebbe il ruolo della normazione nella legge sull'IA?,11,18,1,11
EU_AI,Italian,text-embedding-3-small,8,Come sono regolamentati i modelli di IA per finalità generali?,8,2,24,8
EU_AI,Italian,text-embedding-3-small,9,Per quale motivo 10^25 FLOPS è una soglia adeguata per l'IA per finalità generali con rischi sistemici?,8,3,5,8
EU_AI,Italian,text-embedding-3-small,10,Quali sono gli obblighi relativi all'aggiunta di filigrane digitali e all'etichettatura dell'output dell'IA stabiliti nella legge sull'IA?,10,17,11,10
EU_AI,Italian,text-embedding-3-small,11,La legge sull'IA è adeguata alle esigenze future?,11,17,1,11
EU_AI,Italian,text-embedding-3-small,12,Come è disciplinata l'identificazione biometrica nella legge sull'IA?,12,13,3,12
EU_AI,Italian,text-embedding-3-small,13,Perché sono necessarie regole particolari per l'identificazione biometrica remota?,12,13,3,13
EU_AI,Italian,text-embedding-3-small,14,In che modo le regole tutelano i diritti fondamentali?,14,1,24,14
EU_AI,Italian,text-embedding-3-small,15,Cos'è una valutazione d'impatto sui diritti fondamentali? Chi deve effettuare tale valutazione? Quando deve essere effettuata?,15,14,23,15
EU_AI,Italian,text-embedding-3-small,16,In che modo questo regolamento affronta le distorsioni nell'IA legate al genere o alla razza?,16,14,10,16
EU_AI,Italian,text-embedding-3-small,17,Quando sarà pienamente applicabile la legge sull'IA?,17,25,24,17
EU_AI,Italian,text-embedding-3-small,18,In che modo sarà applicata la legge sull'IA?,17,11,24,17
EU_AI,Italian,text-embedding-3-small,19,Perché è necessario un consiglio europeo per l'intelligenza artificiale e di cosa si occuperà?,19,18,26,19
EU_AI,Italian,text-embedding-3-small,20,Quali sono le sanzioni in caso di violazione?,20,6,3,20
EU_AI,Italian,text-embedding-3-small,21,In che modo sarà elaborato il codice di buone pratiche in materia di IA per finalità generali?,22,21,21,21
EU_AI,Italian,text-embedding-3-small,22,"Se approvato, in che modo il codice di buone pratiche per i fornitori di modelli di IA per finalità generali funge da strumento centrale per la conformità?",22,21,21,22
EU_AI,Italian,text-embedding-3-small,23,La legge sull'IA contiene disposizioni in materia di protezione ambientale e sostenibilità?,11,1,23,23
EU_AI,Italian,text-embedding-3-small,24,In che modo le nuove regole possono sostenere l'innovazione?,11,24,22,24
EU_AI,Italian,text-embedding-3-small,25,Quale ruolo svolge il patto per l'IA nell'attuazione della legge sull'IA?,25,18,24,25
EU_AI,Italian,text-embedding-3-small,26,Qual è la dimensione internazionale dell'approccio dell'UE?,26,14,1,26
EU_AI,Italian,text-embedding-ada-002,1,Perché è necessario regolamentare l'uso dell'intelligenza artificiale?,24,3,18,24
EU_AI,Italian,text-embedding-ada-002,2,A chi si applica la legge sull'IA?,2,17,11,2
EU_AI,Italian,text-embedding-ada-002,3,Quali sono le categorie di rischio?,4,5,3,3
EU_AI,Italian,text-embedding-ada-002,4,Come sapere se un sistema di IA è ad alto rischio?,6,4,16,4
EU_AI,Italian,text-embedding-ada-002,5,Quali sono gli esempi di casi d'uso ad alto rischio definiti nell'allegato III?,5,3,4,5
EU_AI,Italian,text-embedding-ada-002,6,Quali sono gli obblighi per i fornitori di sistemi di IA ad alto rischio?,6,15,7,6
EU_AI,Italian,text-embedding-ada-002,7,Quale sarebbe il ruolo della normazione nella legge sull'IA?,11,24,18,11
EU_AI,Italian,text-embedding-ada-002,8,Come sono regolamentati i modelli di IA per finalità generali?,8,23,22,8
EU_AI,Italian,text-embedding-ada-002,9,Per quale motivo 10^25 FLOPS è una soglia adeguata per l'IA per finalità generali con rischi sistemici?,9,8,16,9
EU_AI,Italian,text-embedding-ada-002,10,Quali sono gli obblighi relativi all'aggiunta di filigrane digitali e all'etichettatura dell'output dell'IA stabiliti nella legge sull'IA?,10,11,2,10
EU_AI,Italian,text-embedding-ada-002,11,La legge sull'IA è adeguata alle esigenze future?,11,3,1,11
EU_AI,Italian,text-embedding-ada-002,12,Come è disciplinata l'identificazione biometrica nella legge sull'IA?,12,13,3,12
EU_AI,Italian,text-embedding-ada-002,13,Perché sono necessarie regole particolari per l'identificazione biometrica remota?,12,13,3,13
EU_AI,Italian,text-embedding-ada-002,14,In che modo le regole tutelano i diritti fondamentali?,14,1,15,14
EU_AI,Italian,text-embedding-ada-002,15,Cos'è una valutazione d'impatto sui diritti fondamentali? Chi deve effettuare tale valutazione? Quando deve essere effettuata?,15,14,23,15
EU_AI,Italian,text-embedding-ada-002,16,In che modo questo regolamento affronta le distorsioni nell'IA legate al genere o alla razza?,16,10,14,16
EU_AI,Italian,text-embedding-ada-002,17,Quando sarà pienamente applicabile la legge sull'IA?,17,7,25,17
EU_AI,Italian,text-embedding-ada-002,18,In che modo sarà applicata la legge sull'IA?,17,11,2,17
EU_AI,Italian,text-embedding-ada-002,19,Perché è necessario un consiglio europeo per l'intelligenza artificiale e di cosa si occuperà?,19,18,26,19
EU_AI,Italian,text-embedding-ada-002,20,Quali sono le sanzioni in caso di violazione?,20,12,17,20
EU_AI,Italian,text-embedding-ada-002,21,In che modo sarà elaborato il codice di buone pratiche in materia di IA per finalità generali?,21,22,21,21
EU_AI,Italian,text-embedding-ada-002,22,"Se approvato, in che modo il codice di buone pratiche per i fornitori di modelli di IA per finalità generali funge da strumento centrale per la conformità?",22,21,21,22
EU_AI,Italian,text-embedding-ada-002,23,La legge sull'IA contiene disposizioni in materia di protezione ambientale e sostenibilità?,11,23,1,23
EU_AI,Italian,text-embedding-ada-002,24,In che modo le nuove regole possono sostenere l'innovazione?,24,11,1,24
EU_AI,Italian,text-embedding-ada-002,25,Quale ruolo svolge il patto per l'IA nell'attuazione della legge sull'IA?,25,11,18,25
EU_AI,Italian,text-embedding-ada-002,26,Qual è la dimensione internazionale dell'approccio dell'UE?,26,14,23,26
EU_AI,Romanian,text-embedding-3-large,1,De ce este necesar să se reglementeze utilizarea inteligenței artificiale?,1,16,3,1
EU_AI,Romanian,text-embedding-3-large,2,Cui i se va aplica Regulamentul privind IA?,17,2,1,2
EU_AI,Romanian,text-embedding-3-large,3,Care sunt categoriile de risc?,4,3,3,3
EU_AI,Romanian,text-embedding-3-large,4,Cum știu dacă un sistem de IA prezintă un grad ridicat de risc?,15,3,4,4
EU_AI,Romanian,text-embedding-3-large,5,"Exemple de cazuri de utilizare cu grad ridicat de risc, astfel cum sunt definite în anexa III",5,3,4,5
EU_AI,Romanian,text-embedding-3-large,6,Ce obligații au furnizorii de sisteme de IA care prezintă un grad ridicat de risc?,15,6,8,6
EU_AI,Romanian,text-embedding-3-large,7,Care ar fi rolul standardizării în Regulamentul privind IA?,11,7,23,7
EU_AI,Romanian,text-embedding-3-large,8,Cum sunt reglementate modelele de IA de uz general?,8,11,24,8
EU_AI,Romanian,text-embedding-3-large,9,De ce este 10^25 FLOP un prag adecvat pentru sistemele de IA de uz general cu riscuri sistemice?,9,8,3,9
EU_AI,Romanian,text-embedding-3-large,10,Care sunt obligațiile în ceea ce privește marcarea și etichetarea rezultatelor IA prevăzute în Regulamentul privind IA?,10,6,22,10
EU_AI,Romanian,text-embedding-3-large,11,Este Regulamentul privind IA adaptat exigențelor viitorului?,11,1,7,11
EU_AI,Romanian,text-embedding-3-large,12,Cum se reglementează identificarea biometrică în Regulamentul privind IA?,13,12,3,12
EU_AI,Romanian,text-embedding-3-large,13,De ce sunt necesare norme speciale pentru identificarea biometrică la distanță?,13,12,3,13
EU_AI,Romanian,text-embedding-3-large,14,Cum protejează normele drepturile fundamentale?,14,15,23,14
EU_AI,Romanian,text-embedding-3-large,15,Ce presupune evaluarea impactului asupra drepturilor fundamentale? Cine trebuie să efectueze o astfel de evaluare și când?,15,14,6,15
EU_AI,Romanian,text-embedding-3-large,16,Cum abordează regulamentul prejudecățile rasiale și de gen în domeniul IA?,16,14,2,16
EU_AI,Romanian,text-embedding-3-large,17,Când va fi pe deplin aplicabil Regulamentul privind IA?,17,25,7,17
EU_AI,Romanian,text-embedding-3-large,18,Cum se va asigura respectarea măsurilor propuse?,22,20,23,22
EU_AI,Romanian,text-embedding-3-large,19,De ce este necesar un comitet european pentru inteligența artificială și cu ce se va ocupa?,19,18,25,19
EU_AI,Romanian,text-embedding-3-large,20,Ce sancțiuni se aplică în cazul nerespectării normelor?,20,22,17,20
EU_AI,Romanian,text-embedding-3-large,21,Cum va fi redactat Codul de bune practici privind IA de uz general?,22,21,8,21
EU_AI,Romanian,text-embedding-3-large,22,"Dacă este aprobat, cum servește Codul de bune practici drept instrument central de conformitate pentru furnizorii de modele de IA de uz general ?",22,8,21,22
EU_AI,Romanian,text-embedding-3-large,23,Regulamentul privind IA conține dispoziții privind protecția mediului și sustenabilitatea?,23,11,1,23
EU_AI,Romanian,text-embedding-3-large,24,Cum pot noile norme să sprijine inovarea?,11,24,7,24
EU_AI,Romanian,text-embedding-3-large,25,Ce rol joacă Pactul privind IA în punerea în aplicare a Regulamentului privind IA?,25,18,11,25
